# number of rays:      11
# iteration   EID   ray    X              A              Y              B              T              D
         0     0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      2  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      3  0.1500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      4  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      5  0.2500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      6  0.3000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      7  0.3500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      8  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      9  0.4500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0     10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E-02

         1     1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     1      2  0.1009867E-02  0.9883014E-04  0.0000000E+00  0.0000000E+00 -0.1732625E-09  0.0000000E+00
         1     1      3  0.1514800E-02  0.1482452E-03  0.0000000E+00  0.0000000E+00 -0.3898406E-09  0.0000000E+00
         1     1      4  0.2019734E-02  0.1976603E-03  0.0000000E+00  0.0000000E+00 -0.6930499E-09  0.0000000E+00
         1     1      5  0.2524667E-02  0.2470754E-03  0.0000000E+00  0.0000000E+00 -0.1082890E-08  0.0000000E+00
         1     1      6  0.3029600E-02  0.2964904E-03  0.0000000E+00  0.0000000E+00 -0.1559362E-08  0.0000000E+00
         1     1      7  0.3534534E-02  0.3459055E-03  0.0000000E+00  0.0000000E+00 -0.2122465E-08  0.0000000E+00
         1     1      8  0.4039467E-02  0.3953206E-03  0.0000000E+00  0.0000000E+00 -0.2772200E-08  0.0000000E+00
         1     1      9  0.4544401E-02  0.4447357E-03  0.0000000E+00  0.0000000E+00 -0.3508565E-08  0.0000000E+00
         1     1     10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.4347783E-04  0.1000000E-02

         1     2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     2      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     2      2  0.1074106E-02  0.9883014E-04  0.0000000E+00  0.0000000E+00 -0.1867008E-08  0.0000000E+00
         1     2      3  0.1611160E-02  0.1482452E-03  0.0000000E+00  0.0000000E+00 -0.4200769E-08  0.0000000E+00
         1     2      4  0.2148213E-02  0.1976603E-03  0.0000000E+00  0.0000000E+00 -0.7468033E-08  0.0000000E+00
         1     2      5  0.2685266E-02  0.2470754E-03  0.0000000E+00  0.0000000E+00 -0.1166880E-07  0.0000000E+00
         1     2      6  0.3222319E-02  0.2964904E-03  0.0000000E+00  0.0000000E+00 -0.1680307E-07  0.0000000E+00
         1     2      7  0.3759372E-02  0.3459055E-03  0.0000000E+00  0.0000000E+00 -0.2287085E-07  0.0000000E+00
         1     2      8  0.4296426E-02  0.3953206E-03  0.0000000E+00  0.0000000E+00 -0.2987213E-07  0.0000000E+00
         1     2      9  0.4833479E-02  0.4447357E-03  0.0000000E+00  0.0000000E+00 -0.3780692E-07  0.0000000E+00
         1     2     10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1847808E-03  0.1000000E-02

         1     3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     3      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     3      2  0.1600870E-02  0.4601409E-04  0.0000000E+00  0.0000000E+00 -0.3824492E-03  0.0000000E+00
         1     3      3  0.2401338E-02  0.6901931E-04  0.0000000E+00  0.0000000E+00 -0.5736884E-03  0.0000000E+00
         1     3      4  0.3201827E-02  0.9202330E-04  0.0000000E+00  0.0000000E+00 -0.7649374E-03  0.0000000E+00
         1     3      5  0.4002338E-02  0.1150261E-03  0.0000000E+00  0.0000000E+00 -0.9561962E-03  0.0000000E+00
         1     3      6  0.4802870E-02  0.1380276E-03  0.0000000E+00  0.0000000E+00 -0.1147465E-02  0.0000000E+00
         1     3      7  0.5603423E-02  0.1610280E-03  0.0000000E+00  0.0000000E+00 -0.1338743E-02  0.0000000E+00
         1     3      8  0.6403998E-02  0.1840271E-03  0.0000000E+00  0.0000000E+00 -0.1530031E-02  0.0000000E+00
         1     3      9  0.7204595E-02  0.2070250E-03  0.0000000E+00  0.0000000E+00 -0.1721329E-02  0.0000000E+00
         1     3     10  0.9694457E-03  0.2667273E-03  0.0000000E+00  0.0000000E+00  0.1638403E-02  0.1000000E-02

         1     4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     4      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     4      2  0.1612374E-02  0.4601409E-04  0.0000000E+00  0.0000000E+00 -0.3824493E-03  0.0000000E+00
         1     4      3  0.2418593E-02  0.6901931E-04  0.0000000E+00  0.0000000E+00 -0.5736887E-03  0.0000000E+00
         1     4      4  0.3224833E-02  0.9202330E-04  0.0000000E+00  0.0000000E+00 -0.7649380E-03  0.0000000E+00
         1     4      5  0.4031094E-02  0.1150261E-03  0.0000000E+00  0.0000000E+00 -0.9561971E-03  0.0000000E+00
         1     4      6  0.4837376E-02  0.1380276E-03  0.0000000E+00  0.0000000E+00 -0.1147466E-02  0.0000000E+00
         1     4      7  0.5643680E-02  0.1610280E-03  0.0000000E+00  0.0000000E+00 -0.1338745E-02  0.0000000E+00
         1     4      8  0.6450005E-02  0.1840271E-03  0.0000000E+00  0.0000000E+00 -0.1530034E-02  0.0000000E+00
         1     4      9  0.7256351E-02  0.2070250E-03  0.0000000E+00  0.0000000E+00 -0.1721332E-02  0.0000000E+00
